City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Vao,NC,-20.2333,164.0167,75.79,67,100,14.38,overcast clouds
236,Amderma,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
237,Tebingtinggi,ID,0.8,127.4,81.63,81,100,2.75,moderate rain
238,Sola,VU,-13.8833,167.55,75.87,94,40,0.0,scattered clouds
239,Saquarema,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
240,Battle Creek,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
241,Guerrero Negro,MX,18.7333,-103.6833,88.83,46,41,8.23,scattered clouds
242,Inhambane,MZ,-19.1164,33.4833,67.86,88,20,6.91,few clouds
243,Souillac,MU,-20.0064,57.6608,75.6,79,4,3.0,clear sky
244,Langxiang,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
245,Hervey Bay,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
246,Buraydah,SA,26.326,43.975,82.85,14,5,10.78,clear sky
247,Vardo,NO,59.5714,7.9877,44.64,51,99,4.83,overcast clouds
248,Ust-Ilimsk,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
249,Viligili,MV,-0.6,73.0833,84.2,77,100,20.47,light rain
250,Half Moon Bay,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
251,Am Timan,TD,11.0297,20.2827,95.77,16,30,3.06,scattered clouds
252,Chitral,PK,25.2088,64.6357,81.36,83,0,14.45,clear sky
253,Beatrice,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
254,Along,IN,28.0667,95.3333,73.9,76,5,4.05,clear sky
255,San Patricio,MX,18.7333,-103.6833,88.83,46,41,8.23,scattered clouds
256,Celano,IT,42.0855,13.5398,53.31,95,83,3.85,broken clouds
257,Agadez,NE,19.75,10.25,94.08,12,100,7.38,overcast clouds
258,Maldonado,UY,-34.6667,-54.9167,74.59,52,14,8.25,few clouds
259,Cabo San Lucas,MX,18.7333,-103.6833,88.83,46,41,8.23,scattered clouds
260,Te Anau,NZ,-46.6,168.3333,49.8,88,100,3.58,overcast clouds
261,Nzega,TZ,-10.6833,35.65,65.5,68,91,2.71,overcast clouds
262,Ayan,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
263,Aksarka,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
264,Santander,ES,42.7762,-9.0603,70.84,50,100,3.15,overcast clouds
265,Tallahassee,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
266,Saint-Joseph,RE,-21.3585,55.7679,72.99,82,38,7.74,scattered clouds
267,Beian,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
268,Oistins,BB,13.0667,-59.5333,86.09,70,20,14.97,few clouds
269,Tual,ID,0.8,127.4,81.63,81,100,2.75,moderate rain
270,Haimen,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
271,Port-Cartier,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
272,Qianguo,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
273,Palabuhanratu,ID,0.8,127.4,81.63,81,100,2.75,moderate rain
274,Korla,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
275,Ouargaye,BF,11.5033,0.0572,97.29,27,0,3.18,clear sky
276,Nizhneyansk,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
277,Lerwick,GB,60.1545,-1.1494,48.2,88,100,19.62,overcast clouds
278,Abatskoye,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
279,Imbituba,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
280,Kalga,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
281,San Cristobal,EC,0.6,-80.0333,80.31,81,94,10.16,overcast clouds
282,Jawhar,SO,11.2842,49.1816,84.24,72,2,2.66,clear sky
283,Acapulco,MX,18.7333,-103.6833,88.83,46,41,8.23,scattered clouds
284,Isangel,VU,-13.8833,167.55,75.87,94,40,0.0,scattered clouds
285,Scarborough,GB,54.2797,-0.4044,54.34,75,34,13.0,scattered clouds
286,Illoqqortoormiut,GL,64.1835,-51.7216,34.41,86,20,13.8,few clouds
287,Jasper,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
288,Normandin,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
289,Fortuna,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
290,We,NC,-20.2333,164.0167,75.79,67,100,14.38,overcast clouds
291,Le Locle,CH,47.0595,6.7523,55.27,71,19,6.91,few clouds
292,Strzelce Krajenskie,PL,52.8773,15.5298,48.94,67,7,8.32,clear sky
293,Santa Rosa,US,37.7799,-121.978,60.49,62,40,16.11,scattered clouds
294,Iqaluit,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
295,Beidao,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
296,Katsuura,JP,34.6667,138.95,57.11,87,100,4.5,overcast clouds
297,Garissa,KE,-0.4536,39.6401,80.38,68,86,19.95,overcast clouds
298,Araouane,ML,18.4411,1.4078,92.07,4,0,11.74,clear sky
299,Viedma,AR,-38.0023,-57.5575,74.95,62,0,25.32,clear sky
300,Houma,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
301,Pontianak,ID,0.8,127.4,81.63,81,100,2.75,moderate rain
302,Alamogordo,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
303,Vila Velha,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
304,Praia Da Vitoria,PT,39.05,-27.9833,61.84,77,48,10.94,scattered clouds
305,Northam,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
306,Beyneu,KZ,52.6292,70.4169,46.38,41,3,4.21,clear sky
307,Rindal,NO,59.5714,7.9877,44.64,51,99,4.83,overcast clouds
308,Provideniya,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
309,Sur,OM,22.9333,57.5333,87.8,23,0,2.06,clear sky
310,Dwarka,IN,28.0667,95.3333,73.9,76,5,4.05,clear sky
311,Miri,MY,3.4836,103.3996,78.91,90,100,4.16,overcast clouds
312,Ongandjera,NA,-26.6481,15.1594,60.12,56,55,13.6,broken clouds
313,Marrakesh,MA,31.6315,-8.0083,95.07,13,0,10.36,clear sky
314,Brigantine,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
315,Oranjestad,AW,12.524,-70.027,85.95,70,75,24.16,broken clouds
316,Mackay,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
317,Staritsa,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
318,Shelburne,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
319,Kavieng,PG,-3.6667,152.4333,80.49,82,100,11.23,overcast clouds
320,Airai,TL,-8.9266,125.4092,58.53,92,49,4.05,scattered clouds
321,Yuanping,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
322,Tsienyane,BW,-21.5667,21.7833,61.41,31,0,8.7,clear sky
323,Orasac,BA,44.6289,16.0711,56.39,94,100,1.25,overcast clouds
324,Ponta Delgada,PT,39.05,-27.9833,61.84,77,48,10.94,scattered clouds
325,Pundaguitan,PH,10.3094,119.0128,80.87,87,100,7.58,overcast clouds
326,Baherden,TM,39.4816,62.9137,84.47,33,39,22.73,scattered clouds
327,Akdepe,TM,39.4816,62.9137,84.47,33,39,22.73,scattered clouds
328,Xianyang,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
329,Tiarei,NZ,-46.1927,168.8643,49.48,97,84,1.52,broken clouds
330,Pangnirtung,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
331,Vitim,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
332,Ilulissat,GL,64.1835,-51.7216,34.41,86,20,13.8,few clouds
333,Camocim,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
334,Vung Tau,VN,10.346,107.0843,82.2,81,100,15.23,overcast clouds
335,Bilibino,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
336,Borovoy,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
337,Kichera,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
338,Khandyga,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
339,Kruisfontein,ZA,-33.5906,26.891,62.47,85,98,6.33,light rain
340,Havoysund,NO,59.5714,7.9877,44.64,51,99,4.83,overcast clouds
341,Zalantun,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
342,Wenling,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
343,Ilhabela,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
344,Hasaki,JP,34.6667,138.95,57.11,87,100,4.5,overcast clouds
345,Yakima,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
346,Acarau,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
347,Mount Isa,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
348,Kendari,ID,0.8,127.4,81.63,81,100,2.75,moderate rain
349,Puerto Madero,MX,18.7333,-103.6833,88.83,46,41,8.23,scattered clouds
