City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Lakes Entrance,AU,2022-05-07 19:35:56,-37.8811,147.981,55.17,76,100,16.04
175,Pisco,PE,2022-05-07 19:35:56,-13.7,-76.2167,68.05,83,0,14.97
176,Carballo,ES,2022-05-07 19:35:57,43.213,-8.691,69.22,71,100,2.04
177,Sabha,LY,2022-05-07 19:35:50,27.0377,14.4283,78.89,20,0,8.05
178,Nador,MA,2022-05-07 19:35:57,35.174,-2.9287,68.07,68,0,3.44
179,Kirakira,SB,2022-05-07 19:35:58,-10.4544,161.9205,80.83,84,74,10.27
180,Sinnamary,GF,2022-05-07 19:34:53,5.3833,-52.95,80.17,84,95,10.36
181,Broken Hill,AU,2022-05-07 19:32:33,-31.95,141.4333,44.31,81,0,3.44
182,Salalah,OM,2022-05-07 19:35:58,17.0151,54.0924,84.29,79,20,6.91
183,Santa Marinella,IT,2022-05-07 19:35:59,42.0345,11.8536,63.48,68,100,3.31
184,Camana,PE,2022-05-07 19:35:59,-16.6228,-72.7111,69.73,75,79,7.31
185,Souillac,MU,2022-05-07 19:36:00,-20.5167,57.5167,75.58,83,75,5.75
186,Obo,CF,2022-05-07 19:36:00,5.3998,26.4869,68.0,96,100,5.17
187,Mahebourg,MU,2022-05-07 19:36:01,-20.4081,57.7,77.25,83,75,5.75
188,Voh,NC,2022-05-07 19:36:01,-20.9667,164.7,71.78,81,100,8.12
189,Oussouye,SN,2022-05-07 19:36:01,12.485,-16.5469,75.42,67,3,9.89
190,Tutoia,BR,2022-05-07 19:36:02,-2.7619,-42.2744,80.13,88,61,5.97
191,Barabai,ID,2022-05-07 19:36:02,-2.5833,115.3833,74.41,98,85,1.16
192,Baneasa,RO,2022-05-07 19:36:03,44.0461,26.0642,58.89,75,77,8.32
193,Gogrial,SS,2022-05-07 19:36:03,8.5332,28.1004,84.15,54,93,6.08
194,Tezu,IN,2022-05-07 19:36:04,27.9167,96.1667,72.54,78,48,4.61
195,Mizusawa,JP,2022-05-07 19:36:04,39.1333,141.1333,46.11,83,86,10.0
196,Henties Bay,NA,2022-05-07 19:36:04,-22.116,14.2845,58.05,86,0,12.8
197,Hurghada,EG,2022-05-07 19:34:56,27.2574,33.8129,77.04,44,0,5.75
198,Vila Franca Do Campo,PT,2022-05-07 19:36:05,37.7167,-25.4333,66.61,91,93,1.19
199,Madimba,TZ,2022-05-07 19:36:06,-10.4,40.3333,75.9,88,7,9.31
200,Palmer,US,2022-05-07 19:36:06,42.1584,-72.3287,54.63,40,75,21.85
201,Chancay,PE,2022-05-07 19:36:06,-11.5714,-77.2672,69.39,76,28,9.44
202,Caborca,MX,2022-05-07 19:36:07,30.5838,-111.101,92.84,6,0,18.52
