City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
302,Alamogordo,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
303,Vila Velha,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
304,Praia Da Vitoria,PT,61.84,scattered clouds,39.05,-27.9833,Casa Das Faias
309,Sur,OM,87.8,clear sky,22.9333,57.5333,Orient Apartments
310,Dwarka,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
311,Miri,MY,78.91,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
313,Marrakesh,MA,95.07,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
314,Brigantine,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
315,Oranjestad,AW,85.95,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
319,Kavieng,PG,80.49,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
322,Tsienyane,BW,61.41,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
324,Ponta Delgada,PT,61.84,scattered clouds,39.05,-27.9833,Casa Das Faias
326,Baherden,TM,84.47,scattered clouds,39.4816,62.9137,Seydi oteli
327,Akdepe,TM,84.47,scattered clouds,39.4816,62.9137,Seydi oteli
333,Camocim,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
334,Vung Tau,VN,82.2,overcast clouds,10.346,107.0843,Seaside Resort
339,Kruisfontein,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
343,Ilhabela,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
345,Yakima,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
346,Acarau,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
348,Kendari,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
349,Puerto Madero,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
351,Nome,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
352,Lucea,JM,84.06,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
353,Anloga,GH,82.2,overcast clouds,5.2618,-0.759,Spanish Villa
362,Ambulu,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
363,Faridan,IR,93.07,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
364,Victoria,HK,77.38,light rain,22.2855,114.1577,Mini Hotel Central
366,Kailua,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
368,Kutum,SD,82.83,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
369,Metu,ET,68.31,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
370,Progreso,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
371,Thinadhoo,MV,84.2,light rain,-0.6,73.0833,Scoop Guest House
373,Kavaratti,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
374,Port-Gentil,GA,78.15,light rain,-1.5746,9.2618,Hotel Olako
376,Pishin,PK,81.36,clear sky,25.2088,64.6357,Kenara Colony house for Rent
378,San Jeronimo,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
379,Mandawar,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
380,General Roca,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
381,Rio Gallegos,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
382,Praia,CV,73.85,clear sky,14.8961,-24.4956,Hotel Xaguate
383,Ocala,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
384,Salalah,OM,87.8,clear sky,22.9333,57.5333,Orient Apartments
387,Aquiraz,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
393,Aswan,EG,89.82,overcast clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
394,Trincomalee,LK,83.93,overcast clouds,8.5711,81.2335,Welcombe Hotel
396,Tapaua,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
397,Port Elizabeth,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
399,Upington,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
400,Dingle,IE,60.51,overcast clouds,54.6333,-8.45,Tara Hotel
402,Bathsheba,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
405,Faya,TD,95.77,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
406,Sandpoint,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
407,Peniche,PT,61.84,scattered clouds,39.05,-27.9833,Casa Das Faias
409,Fairbanks,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
412,Ancud,CL,61.03,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
415,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
416,Qurayyat,OM,87.8,clear sky,22.9333,57.5333,Orient Apartments
418,Caravelas,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
420,Kahului,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
421,Jujuy,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
423,Mabaruma,GY,78.8,broken clouds,8.2,-59.7833,Monty Brooms Guest House
429,Sao Sebastiao Do Passe,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
433,Djibo,BF,97.29,clear sky,11.5033,0.0572,Résidence le Cotonnier
436,West Des Moines,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
439,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
446,Neuquen,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
454,Dhidhdhoo,MV,84.2,light rain,-0.6,73.0833,Scoop Guest House
455,Nantucket,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
457,Iquitos,PE,73.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
459,Resistencia,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
461,Sungairaya,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
462,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
463,Doka,SD,82.83,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
464,Maceio,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
467,Sao Joao Da Barra,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
468,West Bay,KY,87.87,few clouds,19.3667,-81.4167,Calypso Cove
470,Tabas,IR,93.07,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
475,Padang,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
479,Lima,PE,73.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
481,Ponta Do Sol,PT,61.84,scattered clouds,39.05,-27.9833,Casa Das Faias
484,Luwuk,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
488,Rock Falls,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
